event_nr,classification,pt,eta,phi,mass
4820,background,13593.449897378576,0.20716975263740944,-0.7239801123129365,88.86055279028416
7496,background,13442.690260829784,0.4607832201756267,1.9172566855412791,402.4337481570899
2017,background,13332.52437027545,0.5325524379959679,-0.7741685971505867,80.61779422775534
480,signal,13512.199814328482,0.39662270682838485,2.5572050760961624,339.5292973118883
949,signal,12334.83158797298,0.8024505686687923,-1.248164910448155,366.71314816457976
1153,background,13582.715503238349,0.26707024995616424,-0.4154124567557523,18.58497688360397
7456,background,11432.182035518255,0.9376725755914429,-0.0074829880580804245,538.4568847544948
8155,background,13073.084727667296,0.6346304687912849,2.3917951986919985,65.03346402520872
4458,background,13146.03191168626,0.6096031855086307,2.217953472389253,257.4710863865813
6210,background,13528.270331979436,0.37070582842717126,-2.9478072431027327,461.57587949119386
5671,background,13599.921590447473,0.06776069208145719,0.6899004287183,13.531060082498195
4829,background,13489.169837575813,0.4255055864606202,2.866074918433031,107.6142716917001
7158,background,13590.031033757836,0.05026722567435982,0.5013591128918311,520.0635029895626
498,background,11431.00955083702,0.9394692040116432,1.31712489145002,69.65407661294851
6539,background,13568.610346030264,0.30961797654109,-0.5810203316138763,78.6472201669118
8802,background,11886.5839636079,0.8759167522607847,-2.3620330066813247,54.63746212739453
10,signal,13553.79607101983,0.32832581176263176,-2.8829018310229166,430.27744240055154
4261,background,13594.015263707926,0.007127755824346549,-0.18169468528364285,403.4213323217835
198,background,13079.449151619778,0.6325101214439419,-3.0120475136631266,113.57398865313061
5654,background,13480.608849180659,0.42195265357847067,1.6910302621092486,582.9465899323087
6443,background,12349.332800985027,0.8008355043970198,-1.1782103971976476,12.252448409513631
1967,background,13597.53797859371,0.047559596220033806,0.26505819683545423,257.8522250325946
8134,background,13410.549902434017,0.487206074146874,-0.6762209740557424,161.28240621427398
548,signal,11166.941585163502,0.9725002501385267,-0.6135092710145948,373.735020180866
8896,background,13581.112144588831,0.2729457355205359,0.3521500416016116,36.03791882611984
3015,background,12363.747476580995,0.7982514674142238,-0.26209601150313294,2.059024925592868
4360,background,11946.089734633388,0.8651135021280526,0.4777713191147285,543.4532115815178
1203,background,12858.929685609059,0.6932989592933446,1.2847439358421608,348.90809828866156
3358,background,13520.432208151804,0.39168630524846704,0.9732564622199131,48.41323045215784
9237,background,13401.502601617605,0.49128545197886864,0.045731633485179154,316.2579960846166
295,background,12837.047431024634,0.699841143930985,0.3712499870871274,78.24444482613923
4414,background,13587.976989625211,0.22827655430244642,2.3823109885934617,275.7505337456744
7807,background,13599.522945653285,0.1086809146342056,2.35034713660121,8.618821676565423
7786,background,12289.181807436298,0.8112460369082412,-0.07946234657888832,162.78941550177146
4916,background,12287.874360170095,0.8116539604849721,-2.5857874452102174,30.20642547647663
4992,background,12884.225925133063,0.6880777164141358,2.9081170636708933,33.84411861083176
3624,background,13299.657199191064,0.5485013323862206,-0.041944639477901606,113.83997582649057
5022,background,11818.409540496135,0.8857964016126079,2.19153684456082,169.4050418695574
7283,background,13399.676332096597,0.49474690679868494,1.6832123286897713,53.016823940699155
710,signal,13594.32145503532,0.01736554821086922,-0.2980230372024818,392.95771662361483
1443,background,13565.655506562944,0.3041565983816369,-0.1737650006226401,379.906580670293
6116,background,13493.79353653343,0.42042612758601006,2.522549739934772,159.01411512240412
6696,background,13279.014768314782,0.5581759765151041,0.20635435360067117,5.970916466038128
9298,background,13561.625840540324,0.3262018888088023,-0.8902970069584498,10.419225799845345
7534,background,13576.739643067971,0.2870197523861133,-2.345124215097933,79.32920135857763
1845,background,12175.76319439835,0.8294076413033861,2.2948739669226548,427.26387459752397
7791,background,13574.668903119727,0.29343971599493734,1.9257511529755305,69.23209318564635
8856,background,13598.396694509347,0.13165348858182324,2.2873973887553563,125.80911420416206
6740,background,12898.634849256863,0.6840349089987634,-1.829620326725609,184.81435952397098
9127,background,13593.900996722166,0.19834269028192564,2.5848668370483834,151.07572563627073
5540,background,13599.740465995654,0.08684138084190884,-2.4806598515962786,42.42355645093345
8135,background,13583.100991219948,0.2656057755992297,-1.5073997842369913,8.100760390854902
6602,background,13405.002965576583,0.491208206584668,-1.7445196076523317,97.03277987209432
7559,background,13314.31067409636,0.5409691102941611,2.28318254661824,204.98495246399827
17,background,13507.31184219454,0.4071467862388223,-1.7100984652129017,5.080536156657543
7324,background,13597.107429657452,0.0643211131982252,1.478087780439715,277.6447847142952
4803,background,12680.941493600507,0.7335521271179415,-2.6517650822565386,516.0314759862611
5544,background,12716.323749852641,0.7254141647563884,-2.633398705719744,549.3396989268045
2691,background,13085.475288260777,0.630731159080839,0.5076923570248258,31.942950190045643
510,signal,13504.063602002736,0.40563109622698834,1.4571465840925022,352.9233529743738
3005,background,11510.034821129828,0.9289688441973198,-2.483478771126348,78.26909873675038
4223,background,13593.395186394635,0.20986810948981927,0.2860481603376059,18.64364969307833
5741,background,13546.607195317425,0.3541918306915238,-1.0087330339558127,58.748567609962045
5630,background,13591.188545360039,0.21499246592878662,-2.171265084303186,205.40363501447868
1463,background,13588.492393896135,0.16111849520091193,0.5277727489365852,500.5713463385102
6360,background,11645.846634767282,0.9095404362124013,1.130318901530737,399.7194479468205
8150,background,13584.098471216997,0.2613463238925656,-2.551286845574457,40.89888239909254
1666,background,11276.764169434828,0.9582756603334226,-1.2486175185323358,456.4468803969694
6325,background,13531.158937591863,0.3766592328059958,-2.9273752013181125,147.68483350609986
3461,background,11976.671971049496,0.8622542399769597,-2.456822706581556,106.40871618855678
210,signal,13144.86922300347,0.6084137019923909,-0.3943736213678381,430.9806854672391
5931,background,12445.01160166889,0.7832873678762224,-2.7254695766238783,66.42951716109894
894,signal,13585.211324468431,0.10457758500102288,-0.5820582430484369,625.2780345551839
2477,background,13599.331083932284,0.0785716180234054,2.989548218008906,121.11779104493606
8125,background,11571.528579368083,0.9206321735933822,-2.951150008382845,108.31223765420295
2425,background,13568.089790811018,0.31139157146393703,-1.9931831959005273,28.662053244642443
